City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Lakatoro,VU,2022-03-13 03:25:50,-16.0999,167.4164,84.24,72,79,7.2
125,Khatanga,RU,2022-03-13 03:25:51,71.9667,102.5,-19.41,99,100,9.28
126,Marrakesh,MA,2022-03-13 03:25:51,31.6315,-8.0083,53.67,76,75,3.44
127,Salalah,OM,2022-03-13 03:25:52,17.0151,54.0924,72.75,49,70,2.64
128,Kahului,US,2022-03-13 03:25:52,20.8947,-156.47,82.42,57,40,21.85
129,Sakata,JP,2022-03-13 03:25:53,38.9167,139.855,41.18,87,75,14.97
130,Marienburg,PL,2022-03-13 03:25:53,54.0359,19.0266,29.57,50,0,3.96
131,Albany,US,2022-03-13 03:24:51,42.6001,-73.9662,19.36,65,89,4.0
132,Santa Isabel Do Rio Negro,BR,2022-03-13 03:25:54,-0.4139,-65.0192,73.54,98,63,1.66
133,College,US,2022-03-13 03:25:54,64.8569,-147.8028,10.35,44,0,17.27
134,Mbandaka,CD,2022-03-13 03:25:54,0.0487,18.2603,71.31,91,100,3.04
135,Saint-Philippe,RE,2022-03-13 03:25:55,-21.3585,55.7679,78.39,89,76,13.85
136,Oranjestad,AW,2022-03-13 03:25:55,12.524,-70.027,78.75,78,20,16.11
137,Aljezur,PT,2022-03-13 03:25:56,37.3191,-8.8033,53.47,92,100,10.74
138,Tigre,AR,2022-03-13 03:25:56,-34.426,-58.5796,68.23,81,0,2.3
139,Davila,PH,2022-03-13 03:23:21,18.4726,120.5763,85.98,66,100,5.08
140,Camacha,PT,2022-03-13 03:25:57,33.0833,-16.3333,58.42,77,20,12.66
141,Faanui,PF,2022-03-13 03:25:57,-16.4833,-151.75,81.81,71,76,11.39
142,Airai,TL,2022-03-13 03:25:58,-8.9266,125.4092,72.45,73,94,2.71
143,Souillac,MU,2022-03-13 03:25:58,-20.5167,57.5167,77.38,100,40,5.75
144,Kaitangata,NZ,2022-03-13 03:25:58,-46.2817,169.8464,62.82,61,0,8.12
145,Lavrentiya,RU,2022-03-13 03:25:59,65.5833,-171.0,9.48,75,2,5.12
146,Fukue,JP,2022-03-13 03:25:59,32.6881,128.8419,66.56,82,75,12.66
147,Lompoc,US,2022-03-13 03:26:00,34.6391,-120.4579,53.02,85,0,25.99
148,Qaanaaq,GL,2022-03-13 03:26:00,77.484,-69.3632,-15.99,70,14,5.7
149,Rio De Jesus,PA,2022-03-13 03:26:00,7.9844,-81.1631,77.25,77,61,1.1
150,Lebu,CL,2022-03-13 03:26:01,-37.6167,-73.65,57.02,93,23,15.61
151,Crailsheim,DE,2022-03-13 03:25:41,49.1344,10.0719,37.27,68,4,6.67
152,Rudnyy,KZ,2022-03-13 03:26:01,52.9594,63.1206,5.23,99,67,8.25
153,Wau,SS,2022-03-13 03:26:02,7.7029,27.9953,77.63,24,63,4.16
154,Rantauprapat,ID,2022-03-13 03:26:06,2.1,99.8333,86.7,66,14,1.23
155,Blythe,US,2022-03-13 03:26:06,33.6103,-114.5964,61.03,16,2,3.33
156,Sitka,US,2022-03-13 03:26:07,57.0531,-135.33,40.89,75,75,4.61
157,Mahebourg,MU,2022-03-13 03:26:07,-20.4081,57.7,81.25,100,40,5.75
158,Berdigestyakh,RU,2022-03-13 03:26:08,62.0989,126.6992,6.84,88,100,3.98
159,Bondo,CD,2022-03-13 03:26:08,3.8146,23.6866,66.63,99,100,2.42
160,Nampula,MZ,2022-03-13 03:26:09,-15.1165,39.2666,69.73,98,100,0.85
161,Zabol,AF,2022-03-13 03:26:09,32.25,67.25,57.83,52,35,4.18
162,Wamba,NG,2022-03-13 03:26:10,8.9333,8.6,77.07,34,73,1.48
163,Meulaboh,ID,2022-03-13 03:26:10,4.1363,96.1285,83.35,72,51,2.8
164,Brazzaville,CG,2022-03-13 03:26:11,-4.2658,15.2832,73.76,100,20,0.0
165,Gondanglegi,ID,2022-03-13 03:26:11,-7.7479,112.0132,85.3,74,99,1.63
166,Hami,CN,2022-03-13 03:26:12,42.8,93.45,51.22,40,78,6.58
167,Wewak,PG,2022-03-13 03:26:12,-3.5534,143.6268,85.78,68,98,6.87
168,Marsa Matruh,EG,2022-03-13 03:26:12,31.3525,27.2453,51.06,75,95,20.18
169,Terenos,BR,2022-03-13 03:26:13,-20.4422,-54.8603,74.91,100,75,2.3
170,Terrace,CA,2022-03-13 03:23:54,54.5163,-128.6035,39.11,87,100,4.61
171,Saint-Denis,FR,2022-03-13 03:25:41,48.9167,2.3333,48.81,81,0,13.8
172,Batagay-Alyta,RU,2022-03-13 03:26:14,67.8006,130.4114,-3.23,83,100,2.3
173,Severo-Kurilsk,RU,2022-03-13 03:26:14,50.6789,156.125,32.65,84,86,8.01
174,Hithadhoo,MV,2022-03-13 03:26:15,-0.6,73.0833,82.58,72,22,5.57
175,Hasaki,JP,2022-03-13 03:26:15,35.7333,140.8333,64.29,69,100,7.83
176,Jamestown,US,2022-03-13 03:22:06,42.097,-79.2353,18.99,54,100,23.02
177,Marzuq,YE,2022-03-13 03:26:16,14.4,46.4667,59.59,37,35,5.59
178,Vagur,FO,2022-03-13 03:26:16,61.4732,-6.8119,42.6,90,85,11.25
179,Tragana,GR,2022-03-13 03:26:17,38.6167,23.1167,32.31,77,15,3.44
180,Husavik,IS,2022-03-13 03:26:17,66.0449,-17.3389,24.84,76,100,13.91
181,Cherskiy,RU,2022-03-13 03:26:18,68.75,161.3,-2.7,91,100,3.22
182,Kavaratti,IN,2022-03-13 03:26:18,10.5669,72.642,82.92,71,7,5.93
183,Ancud,CL,2022-03-13 03:25:33,-41.8697,-73.8203,52.39,86,89,2.68
184,Naze,JP,2022-03-13 03:26:19,28.3667,129.4833,72.52,76,10,11.03
185,Coihaique,CL,2022-03-13 03:24:49,-45.5752,-72.0662,51.75,76,0,3.44
186,Arkhangelskoye,RU,2022-03-13 03:26:19,55.8549,35.3287,24.84,97,100,2.93
187,Ahipara,NZ,2022-03-13 03:23:08,-35.1667,173.1667,70.86,86,45,2.24
188,Comodoro Rivadavia,AR,2022-03-13 03:26:20,-45.8667,-67.5,51.66,50,0,3.44
189,Sao Joao Da Barra,BR,2022-03-13 03:26:20,-21.6403,-41.0511,77.23,88,7,4.34
190,Hofn,IS,2022-03-13 03:26:21,64.2539,-15.2082,35.96,88,100,4.7
191,Ravar,IR,2022-03-13 03:26:21,31.2656,56.8055,68.25,26,100,6.22
192,Kvitok,RU,2022-03-13 03:26:22,56.0724,98.4813,1.62,85,82,2.84
193,Edd,ER,2022-03-13 03:26:22,13.9297,41.6925,76.32,73,16,2.73
194,Emba,KZ,2022-03-13 03:26:23,48.8264,58.1442,6.64,93,99,6.76
195,Vaini,TO,2022-03-13 03:26:23,-21.2,-175.2,82.56,83,40,4.61
196,Fort Nelson,CA,2022-03-13 03:26:23,58.8053,-122.7002,4.59,85,100,6.91
197,Faya,SA,2022-03-13 03:26:24,18.3851,42.4509,54.12,79,4,3.65
198,Bambous Virieux,MU,2022-03-13 03:26:24,-20.3428,57.7575,81.21,100,40,5.75
199,Tefe,BR,2022-03-13 03:26:25,-3.3542,-64.7114,72.7,96,68,0.51
200,Waipawa,NZ,2022-03-13 03:26:25,-41.4122,175.5153,59.4,61,16,12.91
201,Fakel,RU,2022-03-13 03:26:25,57.6325,53.0252,3.67,100,92,4.5
202,Lagoa,PT,2022-03-13 03:26:26,39.05,-27.9833,57.45,59,3,20.87
203,Plonsk,PL,2022-03-13 03:26:26,52.6235,20.3755,24.84,50,5,4.74
204,Beloha,MG,2022-03-13 03:26:27,-25.1667,45.05,71.4,91,4,10.38
205,Bulawayo,ZW,2022-03-13 03:26:27,-20.15,28.5833,57.56,89,5,6.87
206,Chuy,UY,2022-03-13 03:26:27,-33.6971,-53.4616,57.49,79,0,4.0
207,Sorland,NO,2022-03-13 03:26:28,67.667,12.6934,41.22,73,100,14.79
208,Mackay,AU,2022-03-13 03:26:28,-21.15,149.2,85.98,62,87,18.41
209,Bredasdorp,ZA,2022-03-13 03:26:29,-34.5322,20.0403,64.13,78,1,5.64
210,Umm Kaddadah,SD,2022-03-13 03:26:29,13.6017,26.6876,65.66,15,6,15.05
211,Pisco,PE,2022-03-13 03:26:29,-13.7,-76.2167,69.85,83,0,2.3
212,Esperance,AU,2022-03-13 03:26:30,-33.8667,121.9,82.24,58,24,10.69
213,Kaili,ID,2022-03-13 03:26:30,-3.4626,120.2147,75.0,83,100,1.92
214,La Oroya,PE,2022-03-13 03:26:31,-11.5189,-75.8994,44.47,93,100,0.72
215,Neyshabur,IR,2022-03-13 03:26:31,36.2133,58.7958,61.38,36,100,7.63
216,Padang,ID,2022-03-13 03:24:03,-0.9492,100.3543,84.25,68,99,3.15
217,Poum,NC,2022-03-13 03:26:32,-20.2333,164.0167,81.97,75,29,7.54
218,Aripuana,BR,2022-03-13 03:22:49,-9.1667,-60.6333,72.68,99,97,0.34
219,Winnemucca,US,2022-03-13 03:24:28,40.973,-117.7357,55.45,21,0,21.85
220,Redlands,US,2022-03-13 03:26:32,34.0556,-117.1825,64.9,23,0,0.0
221,Mahajanga,MG,2022-03-13 03:26:33,-15.7167,46.3167,71.62,100,20,2.3
222,Barrow,US,2022-03-13 03:26:34,71.2906,-156.7887,-18.38,76,0,5.75
223,Basco,PH,2022-03-13 03:26:35,20.4487,121.9702,74.28,87,7,17.22
224,Tanout,NE,2022-03-13 03:26:35,14.9709,8.8879,67.89,18,85,11.07
225,Kodiak,US,2022-03-13 03:26:36,57.79,-152.4072,38.71,87,100,11.5
226,Kibala,TD,2022-03-13 03:26:36,9.1104,18.3463,82.35,34,5,6.91
227,Narrabri,AU,2022-03-13 03:26:36,-30.3167,149.7833,83.52,32,3,6.91
228,Stepnyak,KZ,2022-03-13 03:26:37,52.8339,70.7803,4.89,98,100,14.16
229,Darnah,LY,2022-03-13 03:26:37,32.767,22.6367,50.61,78,100,18.16
230,Brae,GB,2022-03-13 03:26:37,60.3964,-1.353,44.82,90,100,19.77
231,At-Bashi,KG,2022-03-13 03:26:38,41.1702,75.8106,37.81,91,97,3.22
232,Cartagena,CO,2022-03-13 03:24:49,10.3997,-75.5144,80.22,83,20,8.05
233,Arvika,SE,2022-03-13 03:26:38,59.6553,12.5852,25.41,92,53,2.04
234,Tessalit,ML,2022-03-13 03:26:39,20.1986,1.0114,68.99,13,0,8.63
235,Storslett,NO,2022-03-13 03:26:39,69.7678,21.0247,32.04,75,100,12.21
236,Sao Felix Do Xingu,BR,2022-03-13 03:26:40,-6.6447,-51.995,71.13,96,70,1.25
237,Grand Gaube,MU,2022-03-13 03:26:40,-20.0064,57.6608,81.37,84,28,5.99
238,Kavieng,PG,2022-03-13 03:23:12,-2.5744,150.7967,85.32,68,75,8.52
239,Paslek,PL,2022-03-13 03:26:41,54.0616,19.6593,28.56,50,0,4.32
240,Vila Velha,BR,2022-03-13 03:26:41,-20.3297,-40.2925,78.75,88,75,4.61
241,Scarborough,GB,2022-03-13 03:26:42,54.2797,-0.4044,44.65,89,98,7.0
242,Chaykovskiy,RU,2022-03-13 03:26:42,56.7686,54.1148,-3.41,100,92,1.97
243,Ambon,ID,2022-03-13 03:23:21,-3.6954,128.1814,87.94,70,20,8.05
244,Kautokeino,NO,2022-03-13 03:26:42,69.0125,23.0412,26.96,96,100,10.38
245,Talcahuano,CL,2022-03-13 03:26:43,-36.7167,-73.1167,55.08,94,100,0.0
246,Reconquista,AR,2022-03-13 03:26:43,-29.15,-59.65,63.46,70,98,7.14
247,Taft,IR,2022-03-13 03:26:44,31.7471,54.2088,57.15,41,75,4.61
248,Pokhara,NP,2022-03-13 03:26:44,28.2333,83.9833,75.61,24,0,3.13
249,Quartz Hill,US,2022-03-13 03:26:44,34.6453,-118.2181,61.65,25,0,13.8
250,Mariental,NA,2022-03-13 03:26:45,-24.6333,17.9667,75.24,42,12,7.78
251,Didao,CN,2022-03-13 03:26:45,45.3667,130.8,33.6,82,96,5.17
252,Arkadelphia,US,2022-03-13 03:26:46,34.1209,-93.0538,38.37,76,0,0.0
253,Przhevalskoye,RU,2022-03-13 03:26:46,55.5093,31.8482,18.91,99,67,2.46
254,Svetlogorsk,BY,2022-03-13 03:26:46,52.6333,29.7333,28.26,90,77,7.63
255,Kashi,CN,2022-03-13 03:26:47,39.4547,75.9797,63.61,27,0,6.71
256,Sumbawanga,TZ,2022-03-13 03:26:47,-7.9667,31.6167,55.42,90,100,3.56
257,Nome,US,2022-03-13 03:25:47,64.5011,-165.4064,24.87,36,0,21.85
258,Virginia Beach,US,2022-03-13 03:22:10,36.8529,-75.978,32.04,49,69,1.99
259,Norman Wells,CA,2022-03-13 03:26:48,65.282,-126.8329,-3.96,59,75,14.97
260,Juegang,CN,2022-03-13 03:26:48,32.3174,121.1855,66.04,80,72,7.05
261,Sulangan,PH,2022-03-13 03:26:49,11.1373,123.7228,81.48,78,88,2.3
262,Arona,ES,2022-03-13 03:26:49,28.0996,-16.681,57.83,72,40,5.75
263,Ust-Nera,RU,2022-03-13 03:26:50,64.5667,143.2,7.36,84,96,1.86
264,Olafsvik,IS,2022-03-13 03:26:50,64.8945,-23.7142,36.99,60,96,18.12
265,Mandalgarh,IN,2022-03-13 03:26:50,25.2,75.1,76.96,24,0,4.14
266,Simao,CN,2022-03-13 03:26:51,22.7886,100.9748,83.08,25,6,3.85
267,Rio Gallegos,AR,2022-03-13 03:26:51,-51.6226,-69.2181,50.05,62,75,3.44
268,Dhidhdhoo,MV,2022-03-13 03:26:52,6.8833,73.1,82.69,70,3,9.73
269,Jenjarom,MY,2022-03-13 03:26:52,2.8766,101.4988,87.94,67,93,2.51
270,Blackfoot,US,2022-03-13 03:26:52,43.1905,-112.345,44.38,88,49,5.57
271,Champerico,GT,2022-03-13 03:26:53,14.3,-91.9167,80.58,74,5,8.75
272,Port Angeles,US,2022-03-13 03:24:05,48.1181,-123.4307,46.65,80,0,5.75
273,Dikson,RU,2022-03-13 03:26:53,73.5069,80.5464,-10.62,94,100,18.68
274,Moron,AR,2022-03-13 03:26:54,-34.6534,-58.6198,67.98,77,0,4.63
275,Bengkulu,ID,2022-03-13 03:26:54,-3.8004,102.2655,81.68,75,97,4.99
276,Dickinson,US,2022-03-13 03:26:54,29.4608,-95.0513,50.11,63,0,9.22
277,Irondequoit,US,2022-03-13 03:26:55,43.2134,-77.5797,21.76,64,100,19.57
278,Makakilo City,US,2022-03-13 03:22:18,21.3469,-158.0858,79.12,52,20,13.8
279,Bathsheba,BB,2022-03-13 03:26:55,13.2167,-59.5167,77.61,73,40,23.02
280,Necochea,AR,2022-03-13 03:26:56,-38.5473,-58.7368,58.53,60,5,11.83
281,Merauke,ID,2022-03-13 03:26:56,-8.4667,140.3333,85.03,74,100,8.37
282,Owando,CG,2022-03-13 03:26:57,-0.4819,15.8999,69.75,91,100,1.63
283,Tibati,CM,2022-03-13 03:26:57,6.4667,12.6333,67.46,62,34,0.56
284,Ahuimanu,US,2022-03-13 03:26:57,21.4447,-157.8378,80.31,64,0,13.8
