City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
159,Ocos,14.5094,-92.1933,73.58,73,68,5.1,GT,broken clouds,2022-03-15 07:24:26
160,Jamestown,42.097,-79.2353,44.24,33,20,9.22,US,few clouds,2022-03-15 07:24:26
161,Bambous Virieux,-20.3428,57.7575,85.21,70,40,10.36,MU,light rain,2022-03-15 07:24:27
162,Eschwege,51.1833,10.0667,45.52,82,100,3.18,DE,overcast clouds,2022-03-15 07:24:27
163,Souillac,-20.5167,57.5167,84.58,70,40,10.36,MU,light rain,2022-03-15 07:24:28
164,Richards Bay,-28.783,32.0377,65.7,93,100,13.89,ZA,moderate rain,2022-03-15 07:24:28
165,Yerbogachen,61.2767,108.0108,3.11,77,100,6.33,RU,overcast clouds,2022-03-15 07:24:28
166,Port Hardy,50.6996,-127.4199,46.4,93,100,5.75,CA,light rain,2022-03-15 07:24:29
167,Victor Harbor,-35.5667,138.6167,82.02,43,6,11.9,AU,clear sky,2022-03-15 07:24:29
168,Klaksvik,62.2266,-6.589,45.52,94,100,39.84,FO,overcast clouds,2022-03-15 07:24:30
169,Aquiraz,-3.9014,-38.3911,80.06,86,78,1.77,BR,moderate rain,2022-03-15 07:24:30
170,Cape Town,-33.9258,18.4232,68.11,57,0,2.3,ZA,clear sky,2022-03-15 07:19:50
171,Diplo,24.4667,69.584,99.36,12,7,13.27,PK,clear sky,2022-03-15 07:24:09
172,San Ramon De La Nueva Oran,-23.1322,-64.326,66.42,85,100,2.68,AR,overcast clouds,2022-03-15 07:24:31
173,Yumen,40.2833,97.2,54.68,30,100,13.91,CN,overcast clouds,2022-03-15 07:24:31
174,Wajima,37.4,136.9,48.88,76,75,5.75,JP,broken clouds,2022-03-15 07:24:32
175,Waw,7.7029,27.9953,86.58,12,71,10.18,SS,broken clouds,2022-03-15 07:24:32
176,Jurado,7.1053,-77.7641,74.53,92,100,3.74,CO,moderate rain,2022-03-15 07:24:33
177,Lagoa,39.05,-27.9833,59.63,95,100,11.25,PT,overcast clouds,2022-03-15 07:24:33
178,Westport,41.1415,-73.3579,47.75,70,0,4.61,US,clear sky,2022-03-15 07:24:33
179,Olafsvik,64.8945,-23.7142,33.64,60,97,40.31,IS,light snow,2022-03-15 07:24:34
